"title","location","city","date","start_time","end_time","team","lable"
"","cascade","hendrik-ido-ambacht","wednesday",,,"[all, audience]","show"
"","studio","hilversum","tuesday",,,"[all, audience, jury, tv]","recording"
"","cascade","hendrik-ido-ambacht","sunday",,,"[all, audience]","show"
"","","alblasserdam",,,,"[all, audience]","festival"
"[-0.08348197489976883,0.09257698059082031,0.10011398047208786,0.07643498480319977,0.014043997041881084,0.05154098942875862,0.040185991674661636,0.14667196571826935,0.027331994846463203,-0.0015829995973035693,-0.0238919947296381,0.10787197947502136,-0.021561995148658752,-0.04961998760700226,0.03483199328184128,0.12358096987009048,0.1125749796628952,-0.01731499657034874,-0.08826398104429245,0.012111997231841087,-0.06699998676776886,0.11866196990013123,-0.07004198431968689,0.018765997141599655,0.17900694906711578,-0.09816397726535797,0.014272996224462986,-0.0005329998675733805,-0.018603995442390442,-0.017478996887803078,0.02872399240732193,0.03544699400663376,-0.0893779769539833,-0.054170988500118256,0.17386095225811005,-0.07979198545217514,-0.054754987359046936,0.044239990413188934,0.008706998080015182,0.04925498738884926,-0.05475398898124695,0.17220595479011536,-0.08018798381090164,0.06696398556232452,-0.06768998503684998,0.07647698372602463,0.0052339984104037285,0.010222997516393661,-0.004790998995304108,-0.05294698849320412,0.013107997365295887,0.04829799011349678,-0.0784589871764183,0.028482992202043533,-0.05827098339796066,0.036456990987062454,-0.06368498504161835,0.049989987164735794,0.02966899238526821,0.05249998718500137,0.04843498766422272,-0.074040986597538,-0.038016993552446365,0.04272298887372017,0.05526798963546753,-0.0413459874689579,0.009830998256802559,0.036574993282556534,-0.06869198381900787,0.0713219866156578,0.009296998381614685,-0.018167996779084206,-0.0017119996482506394,0.10289797931909561,-0.08298897743225098,0.11176797747612,-0.07122798264026642,-0.020900994539260864,0.0170889962464571,-0.11133797466754913,-0.059719983488321304,0.05759398639202118,-0.09611697494983673,0.15047797560691833,-0.20494896173477173,0.035590991377830505,0.099062979221344,0.1416209638118744,0.1311509758234024,-0.04270898923277855,-0.11198897659778595,-0.05420498922467232,-0.07521998882293701,-0.09660997986793518,-0.1136629730463028,-0.08344598114490509,0.01413099654018879,-0.007510998286306858,0.03837999328970909,-0.0010219997493550181,-0.06419998407363892,0.037572991102933884,0.08047997951507568,0.1164899691939354,0.017444996163249016,-0.03901699185371399,-0.19411595165729523,-0.028698991984128952,0.013550996780395508,0.02212999388575554,-0.024357995018363,-0.027105994522571564,-0.14570896327495575,-0.2602209448814392,0.1206519678235054,-0.09345097839832306,-0.020737994462251663,-0.0896349772810936,-0.013969996944069862,-0.02442699484527111,-0.03299299255013466,-0.00014499996905215085,0.016091996803879738,-0.02925899252295494,-0.14381596446037292,-0.11063997447490692,-0.06772398203611374,-0.06389298290014267,0.10868697613477707,-0.13739897310733795,0.08463497459888458,-0.0458499900996685,0.03953099250793457,-0.10355597734451294,-0.03757799416780472,0.07047098875045776,-0.004514999222010374,0.013263997621834278,0.09132397919893265,0.004760999232530594,0.010917996987700462,0.027813995257019997,0.0012949996162205935,0.03974099084734917,-0.11330997198820114,-0.005544998683035374,0.009438998065888882,-0.10499897599220276,-0.06488098204135895,0.05999598652124405,0.02541499398648739,-0.06716198474168777,-0.0945659801363945,-0.07253798842430115,0.1479799747467041,-0.038114991039037704,0.12369296699762344,0.03264399245381355,0.1683809608221054,-0.061565984040498734]","drierieverenpunt","dordrecht","monday",,,"[all, audience]","festival"
"","cascade","hendrik-ido-ambacht","friday",,,"[all, audience]","show"
"","arena","amsterdam","saturday",14,4,"[all, audience]","festival"
"","arena","amsterdam","saturday",3,3.5,"[all, audience]","festival"
"","","rotterdam",,,,"[all, audience]","festival"
"","","","thursday",,,"[all, audience]","show"
"","cascade","hendrik-ido-ambacht","friday",,,"all","recording"
"","","","friday",,,"",""
"","","","friday",,,"",""
"","stationsplein","rotterdam","saturday",,,"[all, audience]","festival"
"","","","thursday",,,"","festival"
"","","","friday",,,"",""
"","","","friday",,,"","festival"
"","cascade","hendrik-ido-ambacht","friday",19,,"all","show"
"","cascade","hendrik-ido-ambacht","saturday",20,22,"[all, audience]","show"
"","cascade","hendrik-ido-ambacht","sunday",15,17,"[all, audience]","show"
"","cascade","hendrik-ido-ambacht","sunday",20,22,"[all, audience]","show"
"","stationsplein","rotterdam","sunday",,,"[all, audience]","festival"
"","alexander","rotterdam","thursday",,,"[all, audience]","festival"
"","","","thursday",,,"",""
"","kunstmin","dordrecht","thursday",,,"[all, audience]","show"
"","kunstmin","dordrecht","sunday",,,"[all, audience]","show"
"","gemeentehuis","zwijndrecht","thursday",,,"[all, audience]","festival"
"","cascade","hendrik-ido-ambacht","friday",,,"all","rehearsal"
"","cascade","hendrik-ido-ambacht","saturday",,,"[all, audience]","show"
"","kunstmin","dordrecht","thursday",,,"all","rehearsal"
"","","scheveningen","saturday",,,"[all, audience]","festival"
"","","","friday",,,"",""
"","cascade","hendrik-ido-ambacht","sunday",,,"[all, audience]","show"
"","paradiso","amsterdam","saturday",16,18,"[all, audience]","festival"
"","","","sunday",,,"",""
"","zuidplein theater","rotterdam","sunday",,,"[all, audience, jury]","festival"
"","","","friday",,,"",""
"","kerk","scheveningen","sunday",,,"[all, audience]","festival"
"","cascade","hendrik-ido-ambacht","sunday",,,"[all, audience]","show"
"","stadhuisplein","middelburg","saturday",12,14,"[all, audience]","festival"
"","schouwburgplein","rotterdam","monday",,,"[all, audience]","festival"
"","cascade","hendrik-ido-ambacht","thursday",19.75,22.25,"all","rehearsal"
"","baxpark","hendrik-ido-ambacht","saturday",,,"[all, audience]","festival"
"","winkel","sgravensdeel","monday",,,"[all, audience]","festival"
